week,regc_2018_desc,mob_index
Easter Week 2019,Northland Region,44.82
Easter Week 2019,Auckland Region,44.02
Easter Week 2019,Waikato Region,43.32
Easter Week 2019,Manawatu-Wanganui Region,39.86
Easter Week 2019,Bay of Plenty Region,44.21
Easter Week 2019,Hawke's Bay Region,41.99
Easter Week 2019,Gisborne Region,44.57
Easter Week 2019,Taranaki Region,36.47
Easter Week 2019,Wellington Region,46.06
Easter Week 2019,Marlborough Region,47.16
Easter Week 2019,Nelson Region,43.68
Easter Week 2019,Canterbury Region,42.12
Easter Week 2019,Tasman Region,40.5
Easter Week 2019,West Coast Region,43.29
Easter Week 2019,Southland Region,38.3
Easter Week 2019,Otago Region,45.78
Week Before Easter Week 2020,Northland Region,27.14
Week Before Easter Week 2020,Auckland Region,32.43
Week Before Easter Week 2020,Waikato Region,29.2
Week Before Easter Week 2020,Manawatu-Wanganui Region,31.12
Week Before Easter Week 2020,Bay of Plenty Region,30.77
Week Before Easter Week 2020,Hawke's Bay Region,31.52
Week Before Easter Week 2020,Gisborne Region,30.05
Week Before Easter Week 2020,Taranaki Region,26.82
Week Before Easter Week 2020,Wellington Region,32.76
Week Before Easter Week 2020,Marlborough Region,30.42
Week Before Easter Week 2020,Nelson Region,33.64
Week Before Easter Week 2020,Canterbury Region,30.01
Week Before Easter Week 2020,Tasman Region,27.47
Week Before Easter Week 2020,West Coast Region,22.86
Week Before Easter Week 2020,Southland Region,27.23
Week Before Easter Week 2020,Otago Region,29.73
Easter Week 2020,Northland Region,28.19
Easter Week 2020,Auckland Region,34.78
Easter Week 2020,Waikato Region,30.93
Easter Week 2020,Manawatu-Wanganui Region,32.84
Easter Week 2020,Bay of Plenty Region,32.72
Easter Week 2020,Hawke's Bay Region,33.43
Easter Week 2020,Gisborne Region,31.9
Easter Week 2020,Taranaki Region,28.2
Easter Week 2020,Wellington Region,34.93
Easter Week 2020,Marlborough Region,31.82
Easter Week 2020,Nelson Region,33.57
Easter Week 2020,Canterbury Region,31.23
Easter Week 2020,Tasman Region,27.52
Easter Week 2020,West Coast Region,23.53
Easter Week 2020,Southland Region,27.92
Easter Week 2020,Otago Region,30.31
